id,price,mq,floor,n_rooms,n_bathrooms,has_terrace,has_alarm,heating,has_air_conditioning,has_parking,is_furnished
175,109000,190,1,5,1,0,0,autonomous,0,0,0
390,84000,150,1,5,2,1,0,autonomous,0,0,0
596,149000,60,2,2,1,1,0,autonomous,1,0,0
813,43000,73,1,4,1,1,0,autonomous,0,0,0
1088,52000,52,1,4,1,0,0,autonomous,0,0,0
1261,35000,50,1,3,1,0,0,autonomous,0,0,0
1558,59000,60,1,5,1,0,0,autonomous,0,0,0
1874,24000,30,2,2,1,0,0,autonomous,0,0,0
2145,115000,120,1,5,2,1,0,autonomous,0,0,0
2389,300000,750,3,3,1,0,0,autonomous,1,0,0
2670,110000,84,1,3,1,0,0,autonomous,0,0,0
2870,85000,90,4,4,2,0,0,autonomous,1,0,0
3140,89000,110,1,5,2,0,0,autonomous,0,0,0
3287,129000,160,3,4,2,0,0,other,0,0,0
3497,125000,224,3,4,2,0,0,autonomous,0,0,0
3703,85000,108,1,4,2,0,0,autonomous,0,0,0
3899,125000,119,1,3,1,0,0,autonomous,0,0,0
4091,189000,100,3,4,2,0,0,autonomous,0,0,0
4316,85000,75,2,3,1,0,0,autonomous,0,0,0
4538,110000,100,1,4,1,0,0,autonomous,1,0,0
4764,180000,120,3,5,2,0,0,autonomous,0,0,0
4961,125000,110,2,5,1,0,0,autonomous,1,0,0
5181,238000,130,2,4,2,0,0,autonomous,1,0,1
5351,140000,100,4,4,1,0,0,autonomous,0,0,0
5515,84000,95,3,3,2,0,0,autonomous,0,0,0
5767,35000,121,2,5,2,0,0,autonomous,0,0,1
6054,98000,105,2,5,1,0,0,autonomous,0,0,0
6312,78000,120,1,4,1,0,0,autonomous,0,0,0
6549,25000,78,2,3,1,0,0,autonomous,1,0,0
6785,120000,152,2,5,1,1,0,autonomous,0,0,1
7018,95000,97,1,4,1,1,0,autonomous,0,0,1
7269,80000,95,3,5,2,0,0,autonomous,0,0,1
7463,49000,188,2,2,1,0,0,autonomous,1,0,1
7709,27000,80,1,2,1,0,0,autonomous,0,0,0
7975,125000,74,1,4,1,1,0,autonomous,0,0,1
8197,99000,90,2,3,2,0,0,autonomous,0,0,0
8437,275000,185,1,5,3,0,0,autonomous,0,0,1
8590,170000,80,1,4,1,1,0,autonomous,1,0,0
8758,85000,95,3,4,2,0,0,autonomous,0,0,0
8990,78000,90,2,4,2,0,0,autonomous,0,0,0
9194,95000,100,1,3,2,0,0,autonomous,1,0,0
9406,58000,40,1,2,2,0,0,autonomous,0,0,0
9621,80000,114,2,4,1,0,0,autonomous,0,0,0
9820,37000,80,1,4,1,1,0,autonomous,0,0,0
10103,165000,69,3,5,2,0,0,other,1,0,0
10359,130000,90,2,3,2,0,0,autonomous,0,0,0
10580,235000,80,1,2,2,0,0,autonomous,0,0,0
10803,35000,45,1,2,1,0,0,autonomous,1,0,0
11087,95000,50,2,2,1,0,0,autonomous,0,0,0
11312,42000,80,1,3,1,0,0,autonomous,1,0,0
11571,330000,180,2,4,2,0,0,autonomous,0,0,0
11818,190000,170,1,5,1,0,0,autonomous,0,0,0
12044,315000,117,1,4,2,0,0,other,0,0,0
12289,320000,168,2,4,2,0,0,autonomous,0,0,0
12472,255000,92,2,3,2,0,0,autonomous,1,0,0
12664,75000,50,1,2,1,0,0,autonomous,0,0,0
12958,90000,231,3,5,2,0,0,autonomous,0,0,0
13187,350000,210,3,5,3,0,0,autonomous,0,0,0
13432,209000,115,2,3,1,0,0,autonomous,0,0,0
13700,365000,80,3,3,1,0,0,autonomous,0,0,0
13961,83000,60,1,2,1,0,1,autonomous,1,1,0
14255,250000,140,4,3,1,0,0,autonomous,1,0,0
14529,295000,45,1,2,1,0,0,autonomous,0,0,0
14788,59000,80,2,3,1,0,0,autonomous,1,0,0
14975,229000,120,1,4,2,1,0,autonomous,0,0,0
15208,290000,97,1,3,2,0,0,autonomous,0,0,0
15451,75000,95,2,4,1,0,0,autonomous,0,0,0
15646,63000,90,3,3,1,0,0,autonomous,1,0,0
15839,148000,128,1,5,1,0,0,autonomous,0,0,0
16156,83000,85,2,3,2,0,0,autonomous,0,0,0
16365,138000,186,1,4,2,1,0,autonomous,0,0,0
16671,200000,150,1,5,2,0,0,autonomous,0,0,0
16982,99000,125,2,4,1,1,0,autonomous,0,0,0
17209,245000,320,1,5,3,0,0,autonomous,0,0,0
17461,53000,202,2,4,2,0,0,autonomous,0,0,0
17775,55000,100,1,3,1,0,0,autonomous,0,0,0
17985,56000,45,1,2,1,0,0,autonomous,0,0,1
18236,125000,140,2,4,2,1,0,autonomous,0,0,0
18463,129000,150,1,4,2,0,0,autonomous,1,0,0
18746,76000,58,1,2,1,0,0,autonomous,0,0,0
19033,65000,80,2,3,1,0,0,autonomous,0,0,0
19267,135000,180,2,5,2,0,0,autonomous,0,0,0
19544,125000,70,1,3,1,0,0,autonomous,0,0,0
19726,73000,52,2,2,1,0,0,autonomous,1,0,0
20007,350000,821,2,5,1,0,0,autonomous,0,0,1
20261,78000,85,2,3,1,0,0,autonomous,0,0,0
20472,89000,110,2,3,1,0,0,autonomous,1,0,0
20747,89000,65,2,3,1,1,0,autonomous,0,0,0
21019,9000,118,1,2,1,0,0,autonomous,1,0,0
21291,70000,90,2,3,1,0,0,autonomous,0,0,0
21552,90000,125,2,4,2,0,0,autonomous,0,0,1
21771,350000,80,1,3,2,0,0,autonomous,1,0,1
21987,420000,200,4,4,2,0,0,autonomous,0,0,1
22315,450000,180,1,5,3,0,0,autonomous,0,0,0
22573,35000,79,3,3,1,0,0,autonomous,1,0,1
22842,180000,197,1,5,3,0,0,autonomous,0,0,0
23121,90000,112,3,3,1,1,0,autonomous,0,0,0
23314,120000,70,1,3,1,0,0,autonomous,0,0,0
23701,255000,110,3,3,2,0,0,autonomous,1,0,0
24096,63000,75,1,4,1,1,0,autonomous,0,0,0
24396,120000,128,2,4,2,1,0,autonomous,0,0,0
24657,70000,65,1,3,1,0,0,other,0,0,0
24879,330000,175,1,4,2,0,0,autonomous,1,0,0
25174,123000,88,1,3,1,0,0,autonomous,0,0,0
25442,340000,200,1,5,2,0,0,autonomous,0,0,0
25703,62000,50,1,2,1,0,0,autonomous,0,0,0
25942,68000,111,1,4,1,1,0,autonomous,0,0,0
26164,310000,154,1,3,2,0,0,autonomous,0,0,0
26447,320000,177,2,4,2,1,0,autonomous,0,0,0
26793,65000,60,2,2,1,0,0,autonomous,0,0,0
27114,120000,50,1,2,1,0,0,autonomous,0,0,0
27355,95000,115,1,4,1,0,0,autonomous,0,0,0
27639,125000,225,1,5,2,0,0,autonomous,1,0,0
27905,490000,270,2,5,2,1,0,autonomous,0,0,0
28249,229000,73,1,2,1,0,0,autonomous,0,0,0
28602,231000,230,1,4,3,0,0,autonomous,0,0,0
28840,298000,125,2,4,2,0,0,other,1,0,0
29118,130000,6,1,3,1,0,0,autonomous,0,0,0
29384,195000,65,1,2,1,0,0,autonomous,1,0,0
29630,85000,100,2,4,1,0,0,autonomous,0,0,0
29843,99000,100,1,3,1,0,0,autonomous,0,0,1
30080,350000,97,3,3,2,1,0,autonomous,1,0,1
30282,299000,278,1,5,3,0,0,autonomous,0,0,0
30477,160000,110,2,5,2,0,0,autonomous,1,0,0
30678,98000,66,4,2,1,0,0,autonomous,1,0,0
30961,59000,72,1,5,1,0,0,autonomous,1,0,0
31186,22000,70,1,5,2,0,0,autonomous,1,0,1
31394,135000,80,7,3,1,0,0,other,0,0,0
31564,60000,77,2,3,1,0,0,autonomous,1,0,0
31805,265000,68,1,2,1,0,0,autonomous,0,0,0
32004,289000,135,3,5,2,0,0,autonomous,0,0,0
32243,160000,95,2,3,2,0,0,other,0,0,0
32474,114000,55,1,3,1,0,0,other,1,0,0
32751,157000,555,3,2,1,0,0,autonomous,0,0,0
32979,35000,60,2,2,1,0,0,other,1,0,1
33161,42000,63,2,2,1,0,0,autonomous,0,0,0
33383,109000,75,1,4,1,0,0,autonomous,0,0,0
33618,85000,62,2,2,1,0,0,autonomous,1,0,0
33877,235000,150,1,5,2,1,0,autonomous,1,0,0
34114,12500,28,1,2,1,0,0,autonomous,1,0,0
34352,105000,50,2,2,1,0,0,other,0,0,0
34557,323000,250,2,5,2,0,0,autonomous,0,0,0
